Course code,Average,Standard Deviation,min,max
PHIL 385,84,4,76,88
CIVL 435,87,6,67,86
ELEC 413,84,4,76,88
DHYG 405,84,6,67,86
MINE 406,80,8,65,96
HIST 315,84,8,61,93
SCIE 300,80,11,34,94
ENVR 300,82,10,33,95
BMEG 101,84,5,78,94
PHIL 335,77,7,64,94
BIOC 559,73,10,57,100
ARTH 480,87,6,60,95
BMEG 230,86,9,33,97
MRNE 400,86,9,33,97
PSYC 534,84,12,62,91
PHYS 474,79,11,61,92
ARTH 439,79,10,53,91
INLB 252,79,15,2,95
COMM 371,79,6,75,94
COMM 291,79,23,11,94
MIDW 115,79,28,3,87
PHIL 415,77,17,30,90
PHIL 212,84,8,50,79
GRSJ 415,79,2,86,90
ECED 438,68,2,82,87
FRST 557,78,3,83,92
LLED 462,71,11,65,96
NAME 591,89,9,70,96
ECON 211,86,7,77,98
CIVL 505,87,3,85,94
MIDW 125,83,4,83,95
DENT 542,85,12,60,96
PHIL 427,87,4,75,99
GRSJ 303,90,4,80,93
ARCH 575,90,7,59,99
COMM 414,87,3,86,99
FIPR 337,93,26,0,93
PSYC 340,87,3,87,95
ENGL 409,90,1,90,94
MUSC 412,94,21,31,87
PSYC 363,76,6,62,80
CRWR 514,91,7,63,91
ASIA 330,92,16,0,96
PHYS 216,67,13,36,100
HGSE 312,72,14,23,96
ECON 303,79,12,44,98
ECON 364,67,14,19,96
MINE 559,81,15,0,100
CPSC 319,68,15,0,100
PCTH 404,74,14,17,99
UFOR 400,72,11,39,100
GEOG 318,78,13,2,98
ASTR 449,76,12,52,98
ENGL 507,73,14,0,99
EPSE 528,79,15,40,93
CHIN 483,71,15,40,93
WOOD 386,75,5,90,100
MATH 257,72,4,81,92
CPSC 539,79,5,74,90
SPPH 516,79,4,80,92
BAMA 508,79,5,84,100
WOOD 487,96,5,75,91
APBI 314,88,6,73,95
SPAN 504,84,6,73,94
ASIA 392,89,3,83,92
MATH 223,94,4,82,93
ECON 302,87,6,74,90
CRWR 359,89,7,76,100
NURS 352,85,2,94,100
APSC 540,87,1,90,94
POLI 390,86,2,87,94
MUSC 249,81,5,77,94
MTRL 467,90,6,78,99
ECON 441,98,3,79,91
ANTH 461,91,2,83,88
GEOG 352,89,4,83,97
MUSC 236,87,6,77,98
ARCL 309,93,4,76,91
ARCL 140,87,4,83,92
MECH 305,86,3,83,93
EDCP 327,92,4,84,99
HIST 363,89,3,81,94
EDCP 210,85,4,80,95
JAPN 260,88,3,80,93
MUSC 107,89,4,80,93
EOSC 250,93,5,80,95
COMM 498,88,12,35,95
APSC 440,89,3,74,83
PERS 100,89,5,78,95
CRWR 506,88,3,79,89
CHBE 381,86,5,75,91
COMM 293,85,5,78,95
FRST 558,80,5,77,89
MICB 323,88,4,78,90
ARCL 228,85,5,78,93
PSYC 517,84,3,82,96
PLAN 509,87,7,68,97
CLST 260,85,7,68,97
MTRL 201,84,7,60,96
SPAN 364,88,9,55,94
HIST 325,88,4,74,98
VISA 180,86,4,82,96
EDUC 500,86,10,44,95
ASTR 311,86,8,62,94
ASIA 351,84,9,58,97
PSYC 300,82,12,51,95
MUSC 520,92,10,27,96
EDCP 412,91,11,0,97
ANTH 329,82,5,71,96
POLI 572,82,4,82,99
CONS 449,79,3,76,91
FREN 102,81,5,75,92
COEC 491,84,3,82,95
APBI 444,83,4,75,93
GEOB 373,87,6,74,93
LATN 350,92,10,60,98
LIBR 579,83,5,78,93
ENPH 352,85,5,83,99
RELG 307,88,4,73,89
PHYS 542,86,2,83,90
TIBT 100,84,5,78,93
PHYS 170,80,3,79,91
PATH 502,87,2,79,87
ENGL 509,91,4,77,96
COMM 455,85,4,76,91
MECH 380,86,5,80,99
COHR 305,88,4,75,92
ARTH 551,85,3,82,94
UFOR 300,85,6,85,100
ENGL 224,92,4,81,92
COHR 308,84,3,82,90
MUSC 550,88,2,82,88
MIDW 215,83,6,80,97
BIOC 450,87,4,73,87
MECH 575,90,13,50,88
JRNL 100,86,12,36,90
GEOG 424,86,10,56,96
FMST 312,85,8,52,93
EECE 570,88,,,
CHBE 244,80,6,65,94
ELEC 204,76,4,75,88
CPSC 535,76,10,51,92
APBI 460,83,4,73,90
HGSE 314,80,17,24,89
MATH 255,,12,10,92
MINE 438,,10,29,91
ECON 221,83,10,40,90
CNPS 584,81,12,0,90
APBI 342,76,14,1,93
NURS 542,80,7,60,92
MUSC 313,76,16,3,98
SPHA 556,76,15,5,97
NURS 180,76,16,0,98
SPPH 555,77,15,8,98
GEOG 599,77,2,87,92
COMM 439,80,6,83,100
WOOD 282,81,5,81,97
CIVL 311,72,5,77,98
DENT 539,73,5,72,95
COMM 434,72,3,84,95
CHIN 491,74,5,80,99
CHEM 218,89,5,78,90
MATH 427,90,1,84,86
ARCH 544,92,1,92,96
CHEM 533,87,2,83,90
MECH 358,88,4,81,91
PHTH 580,91,3,76,88
EDCP 555,93,9,58,95
THTR 374,86,4,80,94
MIDW 405,85,7,66,95
ELEC 422,94,5,79,94
BUSI 294,87,1,83,87
SPAN 202,84,5,76,95
FOPR 388,85,3,80,95
EDCP 510,86,6,70,94
BIOL 204,87,4,79,97
PHYS 107,87,4,82,96
EDCP 570,88,5,68,92
GERM 304,85,2,82,94
ENDS 301,90,7,68,98
ENGL 344,91,3,85,100
BIOL 341,84,3,85,100
THTR 250,91,3,78,92
POLI 521,91,4,76,96
EPSE 403,79,11,20,95
MIDW 210,88,14,0,97
MATH 610,87,6,80,96
CPSC 532,93,4,70,88
RUSS 201,93,12,56,94
LLED 573,93,3,93,100
BIOL 445,85,2,81,86
HIST 270,89,2,84,90
AFST 352,84,2,82,88
CIVL 559,84,5,74,91
ITST 345,88,23,0,92
HIST 547,81,9,62,95
DENT 574,85,2,84,88
FOPR 459,96,5,76,92
FOOD 520,84,9,59,91
EPSE 594,87,10,51,90
CHIN 333,85,7,70,97
INLB 452,86,8,53,91
MECH 360,80,9,50,95
ETEC 512,84,9,53,91
VISA 260,87,14,29,94
FNIS 100,86,10,55,90
EPSE 565,84,9,52,94
CHBE 482,73,11,35,94
MUSC 207,86,13,37,88
CLST 313,77,8,46,92
LIBR 569,78,5,80,93
HIST 447,80,7,71,96
CPEN 412,80,9,37,93
NURS 591,78,14,25,94
PHIL 431,82,9,62,94
LARC 523,77,12,15,92
ARTH 225,73,22,0,93
ENGL 120,76,12,0,93
SPPH 579,86,14,43,97
POLI 547,89,9,51,88
FIPR 330,77,17,1,92
CPSC 509,78,17,0,90
ASIA 342,79,11,23,96
KORN 200,73,11,23,96
LING 451,68,10,17,90
HIST 595,79,9,27,93
UFOR 495,74,11,0,86
MATH 102,75,16,0,94
LIBR 571,71,12,17,90
STAT 561,72,12,0,97
CHBE 583,78,10,39,95
MATH 302,78,17,10,92
EOSC 372,78,11,27,95
THTR 456,75,11,0,89
PSYC 304,75,13,18,95
FRST 231,71,10,17,93
LLED 481,73,18,2,97
FIST 434,77,15,0,99
BUSI 451,78,12,25,91
APBI 319,72,13,1,96
SPPH 526,69,10,21,99
MTRL 594,74,10,50,88
STAT 406,75,5,76,92
HGSE 354,72,10,0,96
HIST 346,75,9,21,87
CLST 320,73,16,0,94
COMM 306,75,13,0,94
HIST 380,72,13,0,92
PHYS 500,73,11,41,90
CIVL 215,78,11,0,95
MATH 342,73,11,0,95
ARST 520,85,11,0,95
STAT 538,72,13,13,91
MUSC 164,72,5,78,92
MINE 331,77,5,70,95
COMM 612,71,7,62,90
CELL 506,74,2,80,88
LIBR 555,71,8,27,92
NURS 300,74,10,0,93
LING 319,74,8,62,98
ENGL 490,72,6,75,97
PLAN 221,70,8,52,97
GERM 403,88,6,59,90
HGSE 310,88,6,65,88
PUNJ 102,77,10,26,90
CIVL 598,84,10,26,90
PHIL 390,80,8,67,99
CIVL 522,75,6,75,95
ECON 374,80,9,64,96
BAUL 500,85,8,66,96
ENGL 462,78,8,65,91
BASM 580,79,13,36,92
STAT 560,79,5,74,87
PHIL 125,77,16,8,96
PSYC 531,77,10,42,95
POLI 367,77,15,33,99
APSC 173,91,14,51,98
COMM 682,85,18,0,97
POLI 332,85,11,46,99
FRST 512,85,22,8,89
MECH 439,82,8,46,90
FRST 395,79,4,79,95
SPAN 302,82,6,71,96
COMM 390,76,4,76,91
HIST 220,80,6,74,94
PHIL 364,82,6,76,93
AFST 351,83,5,78,90
MUSC 500,77,3,86,96
MUSC 201,84,2,88,93
IGEN 452,63,5,74,92
COMM 436,78,6,73,94
AUDI 528,89,3,84,97
SOCI 260,85,7,66,94
GRSJ 306,86,5,79,99
ECON 640,86,6,73,93
COGS 300,85,3,85,95
CAPS 301,85,6,69,96
NEST 312,91,6,74,91
COMM 388,91,5,80,95
POLI 321,85,4,75,92
ARST 575,84,3,82,95
THTR 472,91,2,81,91
POLI 514,85,10,65,97
BIOL 324,93,8,60,90
ENDS 110,83,6,75,94
ASIA 490,91,14,31,90
CHEM 461,86,11,55,97
FRST 399,83,11,55,97
ANTH 421,88,9,65,94
POLI 377,87,11,30,90
ASTR 310,87,7,66,96
SOWK 405,87,5,69,90
CAPS 426,84,15,0,92
EDST 523,84,10,46,94
GEOB 307,84,13,29,94
LARC 522,79,15,0,96
CPEN 524,86,8,67,91
PHYS 438,86,7,73,94
MATH 425,86,14,40,99
EDST 596,86,15,21,97
PUNJ 403,76,4,82,93
PHRM 212,84,4,80,92
LARC 541,80,1,90,95
MUSC 549,74,5,82,96
ITAL 101,74,5,81,96
GEOG 481,74,5,80,94
LIBE 463,72,2,90,96
BIOL 416,82,1,89,93
EDCP 580,84,3,91,98
ASIA 250,82,3,84,92
SOCI 470,82,1,88,90
MATH 525,89,4,80,90
CENS 201,86,3,83,92
AUDI 551,93,5,82,97
CSIS 200,92,2,90,97
BUSI 329,90,2,90,97
MTRL 460,87,2,93,97
POLI 344,93,5,81,98
PHYS 348,92,6,80,97
FOPR 464,95,11,63,95
POLI 366,88,13,35,96
EOSC 110,89,13,30,92
MUSC 120,86,11,51,95
PHYS 117,87,5,80,95
HIST 328,89,18,0,98
FRST 449,93,1,90,93
ARCH 574,93,6,80,97
PHIL 330,95,16,0,93
EDCP 558,90,10,53,85
ARCL 305,91,10,53,85
MRNE 425,84,9,45,91
ELEC 544,72,8,47,90
BIOL 364,74,12,12,90
PLAN 587,77,5,82,100
ARCH 523,88,11,39,95
ASIA 101,88,11,40,95
ANTH 417,92,14,36,97
ECON 514,89,15,23,99
PSYC 101,73,7,58,91
ASIA 371,71,11,36,95
MTRL 455,71,22,0,93
GEOG 316,71,14,14,96
SPPH 527,78,8,56,94
PHYS 530,76,13,20,98
ENGL 110,69,13,10,99
ANTH 409,92,3,85,96
THTR 305,79,4,85,99
ANTH 400,75,5,85,99
ARST 556,75,15,13,92
MINE 304,73,11,46,92
FMST 238,80,15,0,91
SPHA 554,76,11,26,91
SPAN 365,70,12,31,97
HIST 390,73,9,51,94
ENDS 302,85,14,0,100
MTRL 485,70,12,0,97
PHTH 516,71,11,24,92
POLI 378,90,11,39,94
FIST 200,91,14,0,97
ARST 573,90,13,2,99
BIOL 209,65,15,0,100
CLST 331,73,13,15,95
MTRL 394,66,14,10,100
HIST 439,70,16,1,100
THTR 271,70,11,30,94
WRDS 350,72,12,29,97
LIBR 526,71,16,0,100
FIPR 234,72,14,0,98
SPAN 280,80,5,63,88
FNIS 400,69,9,32,88
CIVL 511,71,,,
EOSC 211,71,8,48,88
BIOL 438,73,15,0,97
LIBR 534,70,11,12,93
HGSE 359,71,11,50,90
MECH 466,71,12,0,93
EECE 554,75,14,0,99
FREN 425,70,14,0,100
MATH 103,70,15,0,100
EDCP 362,71,14,57,96
GEOB 472,77,12,57,96
ASIA 452,73,11,59,97
PHYS 408,,11,46,99
BUSI 401,,5,70,92
FRST 444,72,5,75,95
APSC 496,68,3,82,89
VANT 150,69,4,81,93
ENDS 211,70,2,84,88
ENGL 474,70,3,77,87
ANTH 240,68,21,40,88
ENDS 231,70,12,46,88
ENGL 511,70,4,75,88
WOOD 373,81,3,80,88
MEDG 550,80,3,83,91
GRSJ 101,84,2,83,89
LING 100,85,2,81,88
ARTH 550,85,3,86,96
PSYC 409,85,10,53,90
GEOG 357,85,17,37,90
ELEC 292,86,4,78,90
SOWK 316,85,2,83,89
MATH 215,82,2,81,89
PHTH 517,77,4,82,92
EOSC 314,83,4,79,91
AUDI 552,83,8,64,93
CIVL 440,85,4,71,89
PHTH 528,87,5,71,90
ELEC 352,87,11,50,90
COMM 336,85,5,68,90
DENT 575,91,9,55,87
RUSS 306,84,8,70,93
SPPH 505,80,8,68,96
MATH 443,85,,,
LIBR 506,85,10,51,90
THTR 530,85,4,70,87
HGSE 356,85,7,68,89
EECE 597,86,5,71,90
SPPH 540,83,6,71,91
ISCI 433,82,4,78,92
ETEC 531,81,7,62,90
PSYC 307,83,11,61,94
EECE 566,82,2,82,86
COMM 459,76,4,75,88
CHIN 133,85,20,40,89
MICB 502,82,5,74,87
EOSC 270,,3,82,91
ELEC 456,,13,12,97
THTR 306,78,14,1,90
PLAN 531,81,11,15,87
SOCI 440,77,4,67,88
FRST 452,82,6,41,91
FMST 210,83,5,59,88
NRSC 549,85,6,56,95
SOCI 414,80,11,50,90
POLI 439,76,6,65,92
GERM 402,85,6,67,94
PHIL 220,81,8,45,90
GEOB 102,76,14,5,90
NURS 581,80,10,0,90
PHIL 581,87,12,19,86
BIOL 465,72,9,17,89
CHEM 403,73,11,12,94
ARCH 538,74,7,21,87
MECH 454,82,18,0,93
FIST 334,80,9,44,89
ASIA 367,80,13,28,90
MEDI 549,78,7,39,88
LING 270,74,15,3,88
CRWR 303,81,23,0,90
SPPH 621,84,11,26,88
MECH 582,77,13,24,97
ECON 490,75,11,0,90
EPSE 390,74,20,0,91
PHYS 404,71,9,41,92
PHYS 565,77,,,
MUSC 159,78,11,24,88
CLST 352,76,11,38,95
GEOG 312,73,12,0,93
ASIA 468,78,8,42,96
BUSI 330,73,11,20,91
OSOT 515,77,12,37,95
EECE 549,75,9,38,92
THTR 211,67,20,0,91
NURS 599,76,9,21,90
CRWR 209,72,11,0,94
EPSE 481,75,12,0,95
CIVL 305,71,10,10,92
BAMA 580,78,14,0,98
ARCH 548,,13,0,95
COMM 377,,13,0,96
ECON 551,71,20,45,96
ASTU 401,79,3,80,89
ASTR 102,77,3,81,90
GEOB 270,79,1,84,89
ENGL 470,71,5,78,94
CIVL 426,75,4,82,95
BAEN 502,80,4,79,96
ARST 555,76,2,87,93
BIOL 332,73,4,82,96
ELEC 201,74,6,64,95
INFO 250,74,4,82,97
ARTH 440,73,1,88,91
ASIA 326,74,4,83,96
MIDW 102,74,2,92,98
MUSC 553,73,2,87,93
BIOL 310,79,7,70,96
ASIA 337,86,3,83,93
LARC 440,86,3,80,91
POLI 360,86,4,84,94
SOCI 312,88,11,65,92
LATN 101,87,3,84,94
SOCI 285,90,5,77,94
SOCI 495,89,7,70,99
NURS 549,90,3,84,96
FIST 300,86,4,73,96
EOSC 240,88,2,83,91
SOCI 384,89,1,86,90
PSYC 462,88,1,86,90
CONS 127,96,4,74,90
BIOF 520,90,4,79,95
SOCI 490,88,3,80,92
GEOG 122,88,5,65,94
JAPN 402,84,3,80,96
ECON 580,89,4,81,95
PHIL 440,85,8,50,90
ITAL 302,89,6,70,92
CIVL 445,86,5,53,90
MECH 522,86,2,88,94
ANTH 545,91,7,71,96
NURS 572,90,9,62,91
MECH 366,87,6,77,93
CLST 314,88,6,71,92
BIOL 361,88,10,72,98
ASIA 533,88,9,60,97
ARTH 540,83,5,83,100
BIOL 447,87,8,74,100
ITST 231,88,6,76,98
PHIL 490,79,18,25,94
HIST 369,87,6,75,92
LIBR 509,88,7,72,98
LAST 201,84,6,68,95
CPSC 491,81,16,23,98
MUSC 521,79,16,15,91
ASIA 375,91,16,30,97
THTR 274,87,7,66,93
FRST 100,80,10,55,94
EDCP 553,85,26,22,90
MICB 449,82,13,50,100
APBI 351,90,9,69,95
HIST 280,86,10,60,98
GRSJ 401,92,8,56,93
GRSJ 327,87,11,58,98
SOWK 550,87,14,43,96
DSCI 551,82,11,45,92
BUSI 446,85,14,32,95
COMM 412,90,11,44,97
POLI 379,84,13,35,99
PHIL 100,79,10,59,94
BASC 524,77,,,
ARST 550,85,9,58,95
PHYS 410,86,8,47,91
COMM 394,77,19,17,93
CHEM 527,75,15,0,94
LING 546,84,8,55,95
PSYC 361,83,23,0,100
ENGL 492,80,15,37,96
LING 445,78,19,0,100
LLED 556,81,21,1,99
COMM 465,80,23,30,96
SPPH 536,76,18,0,100
MATH 550,74,17,0,100
CHIN 481,80,10,50,94
ASIA 364,77,9,58,96
MINE 524,80,16,5,96
FMST 316,,13,35,94
EOSC 562,,12,0,98
MTRL 494,80,13,21,96
ECED 407,83,16,3,100
LLED 222,65,9,39,99
ANAT 516,79,16,8,97
HIST 326,84,15,0,100
MATH 420,77,12,27,100
GERM 313,72,16,9,100
ECED 508,74,16,0,100
PHIL 339,66,8,46,93
NURS 511,66,11,50,95
MUSC 494,74,11,45,100
FREN 220,71,16,0,100
LLED 212,80,14,11,98
CONS 481,81,2,89,93
CHEM 524,71,3,83,90
CHEM 260,80,4,73,89
EPSE 505,72,4,73,91
VISA 220,74,5,73,93
HIST 305,79,5,73,94
PHRM 251,83,4,75,92
CIVL 315,65,4,77,96
SOCI 200,77,4,69,91
MECH 572,83,5,48,92
BAMA 509,72,5,48,92
COMM 354,76,5,74,99
SPAN 357,85,5,74,99
ENGL 406,80,3,80,95
MINE 486,79,3,77,92
FIST 331,76,4,73,96
FNEL 282,74,3,74,99
PHYS 400,91,3,76,99
THTR 320,85,6,63,99
EOSC 445,83,6,59,93
PHRM 131,82,6,59,92
FNEL 242,84,6,71,99
JAPN 450,84,2,85,98
BUSI 433,84,4,69,91
BAAC 511,88,6,70,97
SOWK 570,82,6,59,94
ANTH 404,85,6,71,96
MUSC 556,85,5,74,99
LARC 532,88,2,80,99
LARC 316,88,6,64,95
THTR 491,88,5,59,93
INLB 220,87,7,47,94
GEOG 371,86,4,82,92
PHIL 315,87,2,85,92
GEOG 121,93,1,86,89
ARBC 102,90,29,0,89
APBI 290,89,16,32,90
EDST 518,81,1,85,88
BUSI 300,82,8,50,100
HIST 311,86,27,0,92
EPSE 576,95,13,15,91
GEOG 319,83,20,0,90
CPEN 400,86,8,50,90
MUSC 340,82,12,58,90
CLST 356,85,21,0,95
FREN 348,88,10,27,89
COMM 485,97,7,69,91
BUSI 335,83,23,0,92
ECON 627,82,15,15,88
ENGL 514,81,25,0,88
CAPS 423,87,27,0,90
NURS 301,89,11,50,93
BAFI 516,88,4,79,92
FNEL 180,76,,,
VISA 331,81,10,0,96
GERM 300,87,14,0,98
CIVL 504,77,8,64,96
ASIA 307,76,21,0,95
PLAN 561,79,11,44,87
CHBE 373,72,15,0,90
EDST 544,74,6,65,85
LLED 423,79,7,56,96
PHYS 409,79,14,0,92
ASIA 381,71,15,0,91
CIVL 509,82,13,18,91
MUSC 530,73,13,16,91
FREN 101,73,14,0,90
SPPH 545,71,12,35,88
SPAN 530,72,13,0,100
GSAT 502,79,15,0,100
VISA 361,88,13,1,91
MUSC 220,,19,0,89
PLAN 530,,16,0,98
PHYS 118,78,13,58,99
PATH 501,77,21,18,98
SPPH 481,79,9,42,93
AUDI 547,73,22,0,99
PORT 102,71,18,0,87
ASTR 403,71,15,0,89
ARTH 443,78,16,0,90
ASIA 327,81,13,0,87
APBI 495,73,16,0,91
VISA 250,69,25,0,87
CHBE 554,75,13,13,95
ECON 600,71,14,0,95
APSC 172,74,14,0,96
ENGL 354,72,16,0,100
EPSE 595,78,12,31,89
BIOL 530,77,11,41,98
ENGL 364,72,16,0,100
BIOC 530,69,16,0,100
MECH 488,72,14,0,92
VISA 230,79,15,0,96
MTRL 358,71,18,5,92
DENT 769,78,6,72,96
GEOB 200,66,3,82,91
PLAN 548,70,3,82,91
ELEC 455,74,5,75,89
MEDI 520,71,4,85,98
ECON 305,71,7,72,94
MINE 402,71,5,79,99
LING 200,68,6,83,100
GEOG 380,79,5,73,97
MUSC 403,73,5,69,92
COMM 447,74,3,85,94
AUDI 569,83,4,78,91
CRWR 406,75,8,63,96
CELL 501,82,6,60,91
PSYC 350,87,3,88,98
ADHE 328,81,8,70,99
PHAR 458,69,10,44,96
PUNJ 200,70,18,0,98
LARC 431,69,3,75,95
HIST 441,87,3,85,97
GRSJ 230,86,14,28,96
POLI 462,86,6,75,92
FRST 545,86,9,60,95
ENGL 466,82,2,89,93
JAPN 101,93,4,81,93
EPSE 526,82,9,58,95
BASC 523,91,9,49,99
EDST 597,93,16,30,91
APBI 398,88,4,77,93
KORN 420,86,8,63,98
SOCI 220,90,14,17,97
AUDI 515,85,3,84,93
APSC 261,84,5,80,96
CHBE 551,78,4,85,97
ARCH 405,93,3,87,95
LING 410,89,4,82,93
GRSJ 422,85,4,79,89
BUSI 453,89,16,36,87
MECH 386,91,4,88,98
SOCI 302,90,26,0,92
CHEM 412,85,12,50,96
CELL 509,87,7,70,97
BAUL 501,88,7,69,94
MEDG 545,91,,,
CHEM 417,89,11,57,91
CNPS 586,85,9,75,100
CIVL 340,86,10,56,85
FIPR 469,79,9,61,98
MICB 430,87,12,32,96
ARCH 541,88,7,68,94
ARCH 403,78,4,80,96
ECON 371,90,8,64,93
BAFI 513,91,10,57,95
ARCH 549,92,8,66,95
CIVL 579,91,7,63,93
FRST 304,88,5,71,94
CEEN 523,85,4,75,93
OSOT 525,74,6,68,92
PHAR 457,94,5,69,95
ELEC 411,70,6,65,95
ASIA 488,81,5,68,91
HIST 240,87,2,86,94
PHYS 306,86,11,70,95
IGEN 330,,4,82,95
HIST 235,,2,93,97
ETEC 524,77,2,90,95
FREN 222,83,10,65,94
ASIC 200,73,7,74,99
HIST 103,81,9,60,90
SPPH 506,82,4,88,99
CHBE 560,85,3,77,87
BIOL 155,89,2,81,88
HIST 379,82,3,83,94
ENGL 241,84,1,96,100
MEDG 535,84,3,87,97
MTRL 350,83,4,86,96
CIVL 510,85,2,90,97
ECON 626,84,7,78,99
JAPN 323,83,6,75,92
COMM 659,87,3,80,91
UFOR 100,87,4,80,92
FRST 519,84,5,79,97
SOIL 518,90,8,71,95
CNPS 362,83,4,75,88
APSC 498,89,4,73,91
CHBE 481,95,4,76,95
ELEC 415,93,4,76,95
SOWK 305,84,4,82,95
EECE 541,88,1,95,100
GERM 408,79,4,81,99
COMM 335,95,4,82,99
THTR 371,82,3,89,100
ARTH 476,85,5,73,96
CPSC 503,90,5,74,94
PHTH 524,99,1,88,97
ASIA 475,92,4,76,97
ANTH 331,91,5,55,93
CIVL 201,92,4,76,95
COMM 405,90,5,70,96
CHEM 413,87,5,69,94
CAPS 390,86,6,43,87
MUSC 442,86,8,36,92
EOSC 213,89,4,73,96
SPHA 562,83,4,76,97
ASIA 444,84,7,29,92
SPPH 502,87,6,71,95
SOCI 369,86,4,79,94
SOCI 354,86,4,81,92
FREN 470,86,11,40,91
EPSE 303,89,6,74,94
COMM 286,98,5,79,90
ENDS 221,93,24,32,92
JRNL 520,91,3,88,96
ENGL 362,97,7,64,91
ENGL 225,88,19,18,95
APPP 502,85,13,39,93
RELG 208,94,10,53,95
LING 209,89,4,85,95
FRST 551,85,10,60,97
